ID,CAS,Name,logDow,logKlip/w-neutral,logKlip/w-ionic,logDlip/w-(pH 7.40),SMILES,MolWt,HeavyAtomCount,RotatableBondCount,HBD,HBA,RingCount,Molecule_Index_in_SDF,IsValid,J
174,000120-83-2,"2,4-dichlorophenol",2.6,3.57,2.69,3.15,Oc1ccc(Cl)cc1Cl,163.003,9,0,1,1,1,174,True,
175,000087-65-0,"2,6-dichlorophenol",1.93,2.86,1.42,1.57,Oc1c(Cl)cccc1Cl,163.00300000000001,9,0,1,1,1,175,True,
176,000095-77-2,"3,4-dichlorophenol",2.83,3.76,2.85,3.67,Oc1ccc(Cl)c(Cl)c1,163.003,9,0,1,1,1,176,True,
177,000095-95-4,"2,4,5-trichlorophenol",2.82,4.46,2.89,3.22,Oc1cc(Cl)c(Cl)cc1Cl,197.448,10,0,1,1,1,177,True,
178,000088-06-2,"2,4,6-trichlorophenol",2.14,3.8,2.52,2.57,Oc1c(Cl)cc(Cl)cc1Cl,197.448,10,0,1,1,1,178,True,
179,000058-90-2,"2,3,4,6-tetrachlorophenol",2.4,4.46,3.46,3.46,Oc1c(Cl)cc(Cl)c(Cl)c1Cl,231.893,11,0,1,1,1,179,True,
180,000087-86-5,pentachlorophenol,2.79,5.1,4.32,4.32,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,266.33799999999997,12,0,1,1,1,180,True,
181,000371-41-5,4-fluorophenol,1.77,2.2,0,2.2,Oc1ccc(F)cc1,112.103,8,0,1,1,1,181,True,
182,000106-41-2,4-bromophenol,2.59,2.39,0,2.39,Oc1ccc(Br)cc1,173.009,8,0,1,1,1,182,True,
183,013979-81-2,"3,5-dibromo-4-methylphenol",3.7,4.51,3.18,4.44,Cc1c(Br)cc(O)cc1Br,265.93199999999996,10,0,1,1,1,183,True,
184,000540-38-5,4-iodophenol,2.91,2.57,0,2.57,Oc1ccc(I)cc1,220.009,8,0,1,1,1,184,True,
185,000088-75-5,2-nitrophenol,0.79,1.89,0.69,0.86,O=[N+]([O-])c1ccccc1O,139.11,10,1,1,3,1,185,True,
186,000554-84-7,3-nitrophenol,-3.41,2.56,0.95,2.52,O=[N+]([O-])c1cccc(O)c1,139.10999999999999,10,1,1,3,1,186,True,
187,000051-28-5,"2,4-dinitrophenol",-0.37,2.67,1.9,1.9,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,184.107,13,2,1,5,1,187,True,
188,000534-52-1,"2-methyl-4,6-dinitrophenol",0.17,2.71,2.35,2.35,Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,198.134,14,2,1,5,1,188,True,
189,004099-71-2,"2-ethyl-4,6-dinitrophenol",1.98,3.02,0,3.02,CCc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,212.16099999999997,15,3,1,5,1,189,True,
190,000088-85-7,"2-sec-butyl-4,6-dinitrophenol",1.38,3.73,3.35,3.35,CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,240.21499999999997,17,4,1,5,1,190,True,
191,001689-84-5,"3,5-dibromo-4-hydroxybenzonitrile",1.19,3.16,2.1,2.1,N#Cc1cc(Br)c(O)c(Br)c1,276.91499999999996,11,0,1,2,1,191,True,
192,000062-53-3,aniline,0.9,1.63,0,1.63,Nc1ccccc1,93.12899999999999,7,0,1,1,1,192,True,
193,000095-64-7,"3,4-dimethylaniline",1.84,2.11,0,2.11,Cc1ccc(N)cc1C,121.18299999999998,9,0,1,1,1,193,True,
194,000636-30-6,"2,4,5-trichloroaniline",3.45,4.16,0,4.16,Nc1cc(Cl)c(Cl)cc1Cl,196.464,10,0,1,1,1,194,True,
195,000088-05-1,"2,4,6-trimethylaniline",2.72,2.38,0,2.38,Cc1cc(C)c(N)c(C)c1,135.20999999999998,10,0,1,1,1,195,True,
196,003481-20-7,"2,3,5,6-tetrachloroaniline",4.1,4.6,0,4.6,Nc1c(Cl)c(Cl)cc(Cl)c1Cl,230.909,11,0,1,1,1,196,True,
197,000527-20-8,pentachloroaniline,4.82,4.69,0,4.69,Nc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,265.35400000000004,12,0,1,1,1,197,True,
198,000099-09-2,3-nitroaniline,1.37,2.17,0,2.17,Nc1cccc([N+](=O)[O-])c1,138.12599999999998,10,1,1,3,1,198,True,
199,005372-81-6,dimethyl-2-amino-p-phthalate,2.28,2.53,0,2.53,COC(=O)c1ccc(C(=O)OC)c(N)c1,209.20099999999996,15,2,1,5,1,199,True,
200,000121-69-7,"N,N-dimethylaniline",2.31,2.33,0,2.33,CN(C)c1ccccc1,121.18299999999998,9,1,0,1,1,200,True,
201,000118-92-3,anthranilic acid,-1.15,2.08,0.13,0.13,Nc1ccccc1C(=O)O,137.13799999999998,10,1,2,2,1,201,True,
202,000053-16-7,estrone,3.13,3.6,0,3.6,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O,270.372,20,0,1,2,4,202,True,
203,000050-28-2,17?-estradiol,4.01,3.33,0,3.33,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,272.388,20,0,2,2,4,203,True,
204,000050-27-1,estriol,2.45,1.96,0,1.96,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](O)[C@@H]2O,288.387,21,0,3,3,4,204,True,
205,000057-63-6,17?-ethynylestradiol,3.67,3.96,0,3.96,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,296.41,22,0,2,2,4,205,True,
206,000057-83-0,progesterone,3.87,3.28,0,3.28,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,314.46900000000005,23,1,0,2,4,206,True,
207,000439-14-5,diazepam,2.82,2.99,0,2.99,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,284.746,20,1,0,2,3,207,True,
208,000739-71-9,trimipramine,2.75,4.74,3.31,3.31,CC(CN(C)C)CN1c2ccccc2CCc2ccccc21,294.442,22,4,0,2,3,208,True,
209,000081-81-2,warfarin,1.75,3.42,1.4,1.43,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,308.3330000000001,23,4,1,4,3,209,True,
210,088150-42-9,amlodipine,-0.37,3.75,3.75,3.75,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,408.88200000000006,28,8,2,7,2,210,True,
211,000525-66-6,propranolol,0.36,3.33,2.74,2.74,CC(C)NCC(O)COc1cccc2ccccc12,259.34900000000005,19,6,2,3,2,211,True,
212,054910-89-3,fluoxetine,1.83,4.35,4.03,4.03,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,309.33099999999996,22,6,1,2,2,212,True,
213,126924-38-7,norfluoxetine,1.46,4.49,4.07,4.07,NCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,295.304,21,5,1,2,2,213,True,
214,000137-58-6,lidocaine,2.33,2.15,1.07,1.4,CCN(CC)CC(=O)Nc1c(C)cccc1C,234.343,17,5,1,2,1,214,True,
215,000059-46-1,procaine,0.31,2.29,0.73,0.77,CCN(CC)CCOC(=O)c1ccc(N)cc1,236.315,17,6,1,4,1,215,True,
216,000094-24-6,tetracaine,1.74,3.23,2.11,2.21,CCCCNc1ccc(C(=O)OCCN(C)C)cc1,264.36899999999997,19,8,1,4,1,216,True,
217,015307-86-5,diclofenac,3.8,4.45,2.64,4.45,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,296.153,19,4,2,2,2,217,True,
218,015687-27-1,ibuprofen,1.34,3.8,1.81,1.81,CC(C)Cc1ccc(C(C)C(=O)O)cc1,206.28499999999997,15,4,1,1,1,218,True,
219,000069-72-7,salicylic acid,-1.52,2.58,0.97,0.97,O=C(O)c1ccccc1O,138.12199999999999,10,1,2,2,1,219,True,
220,000050-78-2,acetylsalicylic acid,-2.16,2.4,1.6,1.6,CC(=O)Oc1ccccc1C(=O)O,180.15899999999996,13,2,1,3,1,220,True,
221,059277-89-3,acyclovir,-1.55,1.7,2,1.76,Nc1nc(=O)c2ncn(COCCO)c2[nH]1,225.20799999999997,16,4,3,7,2,221,True,
222,000315-30-0,allopurinol,-0.42,2.5,2.7,2.6,O=c1ncnc2[nH][nH]cc1-2,136.11399999999998,10,0,2,3,2,222,True,
223,002609-46-3,amiloride,-0.77,1.8,1.6,1.71,NC(N)=NC(=O)c1nc(Cl)c(N)nc1N,229.63099999999997,15,1,4,5,1,223,True,
224,029122-68-7,atenolol,-1.8,2.2,1.01,1.01,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,266.34099999999995,19,8,3,4,1,224,True,
